date,landfill_name,city,msw_received_tonnes,organic_fraction,ch4_emitted_tonnes,ambient_temp,sensor_status
2023-01-13,Pirana,Ahmedabad,2486.3,0.51,112.13,16.5,ACTIVE
2023-01-13,Perungudi,Chennai,2713.2,0.46,121.01,42.1,CALIBRATING
2023-01-14,Ghazipur,Delhi,3047.9,0.44,135.33,16.3,OFFLINE
2023-01-14,Bhalswa,Delhi,1758.0,0.51,79.29,44.8,CALIBRATING
2023-01-14,Okhla,Delhi,1231.7,0.57,56.29,37.1,CALIBRATING
2023-01-14,Deonar,Mumbai,2613.0,0.48,117.06,25.1,ACTIVE
2023-01-14,Pirana,Ahmedabad,2376.9,0.41,104.82,40.1,ACTIVE
2023-01-14,Perungudi,Chennai,2606.8,0.5,117.31,34.0,CALIBRATING
2023-01-15,Ghazipur,Delhi,2589.8,0.47,115.76,31.0,CALIBRATING
2023-01-15,Bhalswa,Delhi,2011.5,0.47,89.91,41.2,ACTIVE
2023-01-15,Okhla,Delhi,1171.4,0.59,53.77,41.5,ACTIVE
2023-01-15,Deonar,Mumbai,3135.7,0.49,140.79,15.8,ACTIVE
2023-01-15,Pirana,Ahmedabad,2813.8,0.51,126.9,37.1,ACTIVE
2023-01-15,Perungudi,Chennai,2090.7,0.58,95.75,32.3,ACTIVE
2023-01-16,Ghazipur,Delhi,2627.1,0.53,119.01,43.1,ACTIVE
2023-01-16,Bhalswa,Delhi,1827.9,0.57,83.54,40.7,ACTIVE
2023-01-16,Okhla,Delhi,1280.8,0.41,56.48,28.9,ACTIVE
2023-01-16,Deonar,Mumbai,2560.0,0.53,115.97,21.9,ACTIVE
2023-01-16,Pirana,Ahmedabad,2439.4,0.51,110.02,17.8,ACTIVE
2023-01-16,Perungudi,Chennai,2721.8,0.58,124.66,44.4,ACTIVE
2023-01-17,Ghazipur,Delhi,2529.6,0.59,116.11,20.5,ACTIVE
2023-01-17,Bhalswa,Delhi,2155.6,0.48,96.57,21.1,ACTIVE
2023-01-17,Okhla,Delhi,1196.7,0.41,52.77,23.6,ACTIVE
2023-01-17,Deonar,Mumbai,3263.1,0.52,147.49,19.3,ACTIVE
2023-01-17,Pirana,Ahmedabad,2330.1,0.47,104.16,43.3,ACTIVE
2023-01-17,Perungudi,Chennai,2183.7,0.5,98.27,40.6,ACTIVE
2023-01-18,Ghazipur,Delhi,3107.4,0.51,140.14,24.5,ACTIVE
2023-01-18,Bhalswa,Delhi,2051.5,0.59,94.16,28.3,ACTIVE
2023-01-18,Okhla,Delhi,1288.6,0.58,59.02,23.9,ACTIVE
2023-01-18,Deonar,Mumbai,3273.3,0.41,144.35,37.2,ACTIVE
2023-01-18,Pirana,Ahmedabad,2695.0,0.59,123.7,24.8,ACTIVE
2023-01-18,Perungudi,Chennai,2522.6,0.44,112.0,19.6,ACTIVE
2023-01-19,Ghazipur,Delhi,2502.7,0.56,114.12,28.1,ACTIVE
2023-01-19,Bhalswa,Delhi,2232.5,0.47,99.79,30.0,ACTIVE
2023-01-19,Okhla,Delhi,1143.1,0.44,50.75,30.1,ACTIVE
2023-01-19,Deonar,Mumbai,2738.1,0.54,124.31,20.8,ACTIVE
2023-01-19,Pirana,Ahmedabad,2718.0,0.5,122.31,39.4,ACTIVE
2023-01-19,Perungudi,Chennai,2276.4,0.44,101.07,27.8,ACTIVE
2023-01-20,Ghazipur,Delhi,3120.5,0.6,143.54,16.5,ACTIVE
2023-01-20,Bhalswa,Delhi,1866.5,0.53,84.55,34.6,ACTIVE
2023-01-20,Okhla,Delhi,1348.7,0.5,60.69,35.9,ACTIVE
2023-01-20,Deonar,Mumbai,3168.2,0.54,143.84,19.3,ACTIVE
2023-01-20,Pirana,Ahmedabad,2201.0,0.4,96.84,30.7,CALIBRATING
2023-01-20,Perungudi,Chennai,2165.2,0.6,99.6,29.5,ACTIVE
2023-01-21,Ghazipur,Delhi,3205.3,0.6,147.44,23.4,ACTIVE
2023-01-21,Bhalswa,Delhi,1836.8,0.56,83.76,25.9,ACTIVE
2023-01-21,Okhla,Delhi,1210.9,0.58,55.46,43.5,ACTIVE
2023-01-21,Deonar,Mumbai,2840.6,0.56,129.53,36.9,ACTIVE
2023-01-21,Pirana,Ahmedabad,2254.8,0.48,101.02,44.1,ACTIVE
2023-01-21,Perungudi,Chennai,2658.9,0.56,121.25,17.0,ACTIVE
2023-01-22,Ghazipur,Delhi,3035.2,0.53,137.49,16.4,ACTIVE
2023-01-22,Bhalswa,Delhi,2069.1,0.54,93.94,38.4,CALIBRATING
2023-01-22,Okhla,Delhi,1366.2,0.58,62.57,23.1,ACTIVE
2023-01-22,Deonar,Mumbai,2668.8,0.45,118.76,34.5,ACTIVE
2023-01-22,Pirana,Ahmedabad,2649.4,0.54,120.28,39.9,ACTIVE
2023-01-22,Perungudi,Chennai,2049.8,0.59,94.09,42.6,ACTIVE
2023-01-23,Ghazipur,Delhi,2721.0,0.57,124.35,18.3,ACTIVE
2023-01-23,Bhalswa,Delhi,1712.1,0.57,78.24,27.6,ACTIVE
2023-01-23,Okhla,Delhi,1096.2,0.52,49.55,42.0,ACTIVE
2023-01-23,Deonar,Mumbai,2626.1,0.43,116.34,24.5,ACTIVE
2023-01-23,Pirana,Ahmedabad,2140.0,0.42,94.59,19.3,ACTIVE
2023-01-23,Perungudi,Chennai,2666.6,0.51,120.26,19.6,CALIBRATING
2023-01-24,Ghazipur,Delhi,3177.9,0.5,143.01,18.4,ACTIVE
2023-01-24,Bhalswa,Delhi,1792.6,0.42,79.23,26.6,ACTIVE
2023-01-24,Okhla,Delhi,1223.2,0.43,54.19,44.0,ACTIVE
2023-01-24,Deonar,Mumbai,2604.0,0.56,118.74,21.6,ACTIVE
2023-01-24,Pirana,Ahmedabad,2387.8,0.57,109.12,33.6,ACTIVE
2023-01-24,Perungudi,Chennai,2451.4,0.47,109.58,33.5,ACTIVE
2023-01-25,Ghazipur,Delhi,2403.7,0.43,106.48,18.3,ACTIVE
2023-01-25,Bhalswa,Delhi,2294.6,0.44,101.88,35.1,ACTIVE
2023-01-25,Okhla,Delhi,1290.7,0.57,58.98,23.2,CALIBRATING
2023-01-25,Deonar,Mumbai,2971.5,0.58,136.09,24.7,ACTIVE
2023-01-25,Pirana,Ahmedabad,2457.3,0.58,112.54,40.5,ACTIVE
2023-01-25,Perungudi,Chennai,2041.5,0.43,90.44,18.0,ACTIVE
2023-01-26,Ghazipur,Delhi,2957.2,0.6,136.03,25.9,ACTIVE
2023-01-26,Bhalswa,Delhi,2158.9,0.48,96.72,32.9,ACTIVE
2023-01-26,Okhla,Delhi,1136.4,0.56,51.82,27.5,ACTIVE
2023-01-26,Deonar,Mumbai,3158.0,0.42,139.58,19.8,CALIBRATING
2023-01-26,Pirana,Ahmedabad,2821.9,0.58,129.24,20.9,CALIBRATING
2023-01-26,Perungudi,Chennai,2562.2,0.46,114.27,28.3,ACTIVE
2023-01-27,Ghazipur,Delhi,3093.2,0.48,138.58,40.5,ACTIVE
2023-01-27,Bhalswa,Delhi,2288.3,0.54,103.89,33.2,ACTIVE
2023-01-27,Okhla,Delhi,1228.2,0.52,55.51,24.5,ACTIVE
2023-01-27,Deonar,Mumbai,2977.2,0.59,136.65,22.4,CALIBRATING
2023-01-27,Pirana,Ahmedabad,2157.5,0.51,97.3,31.7,ACTIVE
2023-01-27,Perungudi,Chennai,2628.6,0.5,118.29,15.6,ACTIVE
2023-01-28,Ghazipur,Delhi,2821.9,0.5,126.99,29.0,ACTIVE
2023-01-28,Bhalswa,Delhi,2183.2,0.55,99.34,26.5,ACTIVE
2023-01-28,Okhla,Delhi,1151.3,0.49,51.69,21.9,ACTIVE
2023-01-28,Deonar,Mumbai,2568.0,0.5,115.56,15.8,CALIBRATING
2023-01-28,Pirana,Ahmedabad,2394.0,0.42,105.81,38.9,ACTIVE
2023-01-28,Perungudi,Chennai,2242.5,0.55,102.03,33.0,ACTIVE
2023-01-29,Ghazipur,Delhi,2612.1,0.5,117.54,18.0,ACTIVE
2023-01-29,Bhalswa,Delhi,2213.8,0.56,100.95,35.4,ACTIVE
2023-01-29,Okhla,Delhi,1061.1,0.44,47.11,26.0,ACTIVE
2023-01-29,Deonar,Mumbai,3186.3,0.55,144.98,38.8,ACTIVE
2023-01-29,Pirana,Ahmedabad,2169.4,0.59,99.58,27.8,ACTIVE
2023-01-29,Perungudi,Chennai,2467.3,0.58,113.0,38.9,ACTIVE
2023-01-30,Ghazipur,Delhi,3147.3,0.48,141.0,33.1,ACTIVE
2023-01-30,Bhalswa,Delhi,1801.7,0.48,80.72,34.2,ACTIVE
2023-01-30,Okhla,Delhi,1237.3,0.59,56.79,41.2,ACTIVE
2023-01-30,Deonar,Mumbai,2916.4,0.59,133.86,40.4,CALIBRATING
2023-01-30,Pirana,Ahmedabad,2129.8,0.41,93.92,29.0,ACTIVE
2023-01-30,Perungudi,Chennai,2145.3,0.59,98.47,25.2,ACTIVE
2023-01-31,Ghazipur,Delhi,3197.0,0.58,146.42,22.9,ACTIVE
2023-01-31,Bhalswa,Delhi,1796.0,0.43,79.56,34.7,ACTIVE
2023-01-31,Okhla,Delhi,1169.5,0.51,52.74,38.5,ACTIVE
2023-01-31,Deonar,Mumbai,3315.9,0.44,147.23,40.7,ACTIVE
2023-01-31,Pirana,Ahmedabad,2691.5,0.55,122.46,24.8,ACTIVE
2023-01-31,Perungudi,Chennai,2251.9,0.42,99.53,15.6,ACTIVE
2023-02-01,Ghazipur,Delhi,2794.2,0.44,124.06,31.8,ACTIVE
2023-02-01,Bhalswa,Delhi,1828.1,0.49,82.08,42.8,ACTIVE
2023-02-01,Okhla,Delhi,1329.1,0.57,60.74,28.4,ACTIVE
2023-02-01,Deonar,Mumbai,2692.8,0.4,118.48,32.0,ACTIVE
2023-02-01,Pirana,Ahmedabad,2385.9,0.41,105.22,38.4,ACTIVE
2023-02-01,Perungudi,Chennai,2351.0,0.43,104.15,25.0,ACTIVE
2023-02-02,Ghazipur,Delhi,3064.6,0.57,140.05,35.5,ACTIVE
2023-02-02,Bhalswa,Delhi,2245.5,0.54,101.95,25.9,CALIBRATING
2023-02-02,Okhla,Delhi,1306.0,0.49,58.64,34.6,ACTIVE
2023-02-02,Deonar,Mumbai,3074.2,0.48,137.72,23.7,ACTIVE
2023-02-02,Pirana,Ahmedabad,2605.5,0.57,119.07,40.7,ACTIVE
2023-02-02,Perungudi,Chennai,2148.7,0.56,97.98,20.9,ACTIVE
2023-02-03,Ghazipur,Delhi,2986.6,0.51,134.7,26.1,ACTIVE
2023-02-03,Bhalswa,Delhi,2073.9,0.46,92.5,16.6,ACTIVE
2023-02-03,Okhla,Delhi,1141.2,0.55,51.92,28.3,ACTIVE
2023-02-03,Deonar,Mumbai,2716.9,0.45,120.9,17.4,CALIBRATING
2023-02-03,Pirana,Ahmedabad,2680.1,0.59,123.02,38.6,ACTIVE
2023-02-03,Perungudi,Chennai,2330.1,0.56,106.25,25.0,ACTIVE
2023-02-04,Ghazipur,Delhi,2407.1,0.51,108.56,23.7,ACTIVE
2023-02-04,Bhalswa,Delhi,1962.4,0.41,86.54,24.5,ACTIVE
2023-02-04,Okhla,Delhi,1281.3,0.57,58.56,24.5,ACTIVE
2023-02-04,Deonar,Mumbai,3327.7,0.58,152.41,43.7,ACTIVE
2023-02-04,Pirana,Ahmedabad,2184.5,0.56,99.61,35.4,ACTIVE
2023-02-04,Perungudi,Chennai,2600.7,0.52,117.55,19.1,ACTIVE
2023-02-05,Ghazipur,Delhi,3056.1,0.41,134.77,38.5,ACTIVE
2023-02-05,Bhalswa,Delhi,1890.6,0.56,86.21,17.8,ACTIVE
2023-02-05,Okhla,Delhi,1268.1,0.43,56.18,22.7,ACTIVE
2023-02-05,Deonar,Mumbai,2616.5,0.47,116.96,20.2,ACTIVE
2023-02-05,Pirana,Ahmedabad,2397.6,0.46,106.93,43.7,ACTIVE
2023-02-05,Perungudi,Chennai,2660.0,0.42,117.57,44.2,ACTIVE
2023-02-06,Ghazipur,Delhi,2501.9,0.57,114.34,35.3,ACTIVE
2023-02-06,Bhalswa,Delhi,1795.5,0.45,79.9,33.3,ACTIVE
2023-02-06,Okhla,Delhi,1028.4,0.6,47.31,25.8,ACTIVE
2023-02-06,Deonar,Mumbai,3350.4,0.4,147.42,43.7,ACTIVE
2023-02-06,Pirana,Ahmedabad,2547.9,0.6,117.2,27.7,ACTIVE
2023-02-06,Perungudi,Chennai,2388.7,0.41,105.34,27.4,ACTIVE
2023-02-07,Ghazipur,Delhi,2619.8,0.41,115.53,36.6,ACTIVE
2023-02-07,Bhalswa,Delhi,2021.0,0.55,91.96,35.1,ACTIVE
2023-02-07,Okhla,Delhi,1323.7,0.49,59.43,16.7,ACTIVE
2023-02-07,Deonar,Mumbai,2807.9,0.49,126.07,31.0,ACTIVE
2023-02-07,Pirana,Ahmedabad,2338.6,0.51,105.47,34.7,ACTIVE
2023-02-07,Perungudi,Chennai,2094.3,0.58,95.92,18.8,CALIBRATING
2023-02-08,Ghazipur,Delhi,2484.7,0.44,110.32,17.6,ACTIVE
2023-02-08,Bhalswa,Delhi,1707.7,0.59,78.38,26.3,ACTIVE
2023-02-08,Okhla,Delhi,1250.2,0.46,55.76,15.5,ACTIVE
2023-02-08,Deonar,Mumbai,3317.5,0.52,149.95,37.1,ACTIVE
2023-02-08,Pirana,Ahmedabad,2274.2,0.53,103.02,24.8,ACTIVE
2023-02-08,Perungudi,Chennai,2619.3,0.53,118.65,44.6,ACTIVE
2023-02-09,Ghazipur,Delhi,3102.9,0.48,139.01,33.3,ACTIVE
2023-02-09,Bhalswa,Delhi,1927.0,0.54,87.49,29.8,ACTIVE
2023-02-09,Okhla,Delhi,1368.9,0.42,60.51,44.2,ACTIVE
2023-02-09,Deonar,Mumbai,2979.1,0.55,135.55,26.0,ACTIVE
2023-02-09,Pirana,Ahmedabad,2479.1,0.46,110.57,23.3,ACTIVE
2023-02-09,Perungudi,Chennai,2642.9,0.41,116.55,40.8,ACTIVE
2023-02-10,Ghazipur,Delhi,2748.5,0.44,122.03,38.8,ACTIVE
2023-02-10,Bhalswa,Delhi,2199.7,0.58,100.75,23.3,ACTIVE
2023-02-10,Okhla,Delhi,1044.7,0.5,47.01,20.7,ACTIVE
2023-02-10,Deonar,Mumbai,3375.2,0.58,154.58,29.9,ACTIVE
2023-02-10,Pirana,Ahmedabad,2467.2,0.45,109.79,19.8,CALIBRATING
2023-02-10,Perungudi,Chennai,2574.0,0.51,116.09,33.1,CALIBRATING
2023-02-11,Ghazipur,Delhi,2707.1,0.47,121.01,43.2,ACTIVE
2023-02-11,Bhalswa,Delhi,2029.9,0.58,92.97,17.2,ACTIVE
2023-02-11,Okhla,Delhi,1319.0,0.52,59.62,24.1,ACTIVE
2023-02-11,Deonar,Mumbai,3273.6,0.53,148.29,24.2,CALIBRATING
2023-02-11,Pirana,Ahmedabad,2331.0,0.55,106.06,33.2,OFFLINE
2023-02-11,Perungudi,Chennai,2716.8,0.45,120.9,43.4,CALIBRATING
2023-02-12,Ghazipur,Delhi,2466.2,0.44,109.5,32.8,ACTIVE
2023-02-12,Bhalswa,Delhi,2236.3,0.54,101.53,40.8,ACTIVE
2023-02-12,Okhla,Delhi,1308.4,0.4,57.57,26.2,ACTIVE
2023-02-12,Deonar,Mumbai,2808.7,0.56,128.08,32.1,ACTIVE
2023-02-12,Pirana,Ahmedabad,2187.9,0.56,99.77,43.9,ACTIVE
2023-02-12,Perungudi,Chennai,2283.8,0.5,102.77,44.9,ACTIVE
2023-02-13,Ghazipur,Delhi,2834.4,0.43,125.56,25.0,ACTIVE
2023-02-13,Bhalswa,Delhi,1731.5,0.43,76.71,38.2,ACTIVE
2023-02-13,Okhla,Delhi,1163.9,0.59,53.42,26.2,ACTIVE
2023-02-13,Deonar,Mumbai,3215.8,0.48,144.07,16.1,ACTIVE
2023-02-13,Pirana,Ahmedabad,2489.5,0.43,110.28,23.8,ACTIVE
2023-02-13,Perungudi,Chennai,2501.0,0.47,111.79,41.8,ACTIVE
2023-02-14,Ghazipur,Delhi,2856.1,0.42,126.24,24.2,ACTIVE
2023-02-14,Bhalswa,Delhi,1769.2,0.44,78.55,16.8,ACTIVE
2023-02-14,Okhla,Delhi,1163.9,0.42,51.44,31.3,ACTIVE
2023-02-14,Deonar,Mumbai,3290.5,0.48,147.41,23.2,CALIBRATING
2023-02-14,Pirana,Ahmedabad,2446.6,0.43,108.38,23.0,ACTIVE
2023-02-14,Perungudi,Chennai,2396.0,0.49,107.58,36.0,ACTIVE
2023-02-15,Ghazipur,Delhi,3069.6,0.53,139.05,41.3,ACTIVE
2023-02-15,Bhalswa,Delhi,2271.1,0.54,103.11,19.8,ACTIVE
2023-02-15,Okhla,Delhi,1207.1,0.45,53.72,42.5,ACTIVE
2023-02-15,Deonar,Mumbai,3006.7,0.54,136.5,21.7,ACTIVE
2023-02-15,Pirana,Ahmedabad,2498.1,0.42,110.42,43.1,ACTIVE
2023-02-15,Perungudi,Chennai,2140.0,0.58,98.01,42.7,ACTIVE
2023-02-16,Ghazipur,Delhi,2711.8,0.48,121.49,37.8,ACTIVE
2023-02-16,Bhalswa,Delhi,1893.7,0.45,84.27,24.7,ACTIVE
2023-02-16,Okhla,Delhi,1336.1,0.59,61.33,15.3,ACTIVE
2023-02-16,Deonar,Mumbai,3113.0,0.48,139.46,23.6,CALIBRATING
2023-02-16,Pirana,Ahmedabad,2616.9,0.55,119.07,26.1,ACTIVE
2023-02-16,Perungudi,Chennai,2227.6,0.51,100.46,40.1,ACTIVE
2023-02-17,Ghazipur,Delhi,2673.0,0.41,117.88,34.3,ACTIVE
2023-02-17,Bhalswa,Delhi,2287.2,0.47,102.24,30.5,ACTIVE
2023-02-17,Okhla,Delhi,1372.3,0.59,62.99,29.7,ACTIVE
2023-02-17,Deonar,Mumbai,3070.9,0.59,140.95,24.7,ACTIVE
2023-02-17,Pirana,Ahmedabad,2431.0,0.57,111.1,15.1,ACTIVE
2023-02-17,Perungudi,Chennai,2087.8,0.51,94.16,18.9,ACTIVE
2023-02-18,Ghazipur,Delhi,2711.3,0.44,120.38,37.4,ACTIVE
2023-02-18,Bhalswa,Delhi,2247.1,0.54,102.02,22.6,ACTIVE
2023-02-18,Okhla,Delhi,1138.9,0.41,50.23,17.4,ACTIVE
2023-02-18,Deonar,Mumbai,2849.2,0.52,128.78,29.6,ACTIVE
2023-02-18,Pirana,Ahmedabad,2522.6,0.58,115.54,15.1,ACTIVE
2023-02-18,Perungudi,Chennai,2485.6,0.46,110.86,32.4,ACTIVE
2023-02-19,Ghazipur,Delhi,3054.9,0.49,137.17,33.2,CALIBRATING
2023-02-19,Bhalswa,Delhi,2166.9,0.4,95.34,21.0,ACTIVE
2023-02-19,Okhla,Delhi,1048.9,0.5,47.2,41.9,ACTIVE
2023-02-19,Deonar,Mumbai,2729.8,0.44,121.2,37.8,ACTIVE
2023-02-19,Pirana,Ahmedabad,2405.5,0.51,108.49,26.5,ACTIVE
2023-02-19,Perungudi,Chennai,2282.1,0.54,103.61,40.9,ACTIVE
2023-02-20,Ghazipur,Delhi,2482.6,0.53,112.46,25.2,ACTIVE
2023-02-20,Bhalswa,Delhi,1825.6,0.57,83.43,32.3,ACTIVE
2023-02-20,Okhla,Delhi,1184.9,0.59,54.39,35.2,ACTIVE
2023-02-20,Deonar,Mumbai,3095.0,0.42,136.8,31.2,ACTIVE
2023-02-20,Pirana,Ahmedabad,2371.4,0.49,106.48,19.0,ACTIVE
2023-02-20,Perungudi,Chennai,2698.3,0.46,120.34,38.4,ACTIVE
2023-02-21,Ghazipur,Delhi,2389.7,0.54,108.49,21.6,ACTIVE
2023-02-21,Bhalswa,Delhi,2260.8,0.41,99.7,39.8,ACTIVE
2023-02-21,Okhla,Delhi,1219.2,0.59,55.96,16.4,ACTIVE
2023-02-21,Deonar,Mumbai,2703.5,0.5,121.66,18.1,CALIBRATING
2023-02-21,Pirana,Ahmedabad,2342.8,0.5,105.43,20.7,ACTIVE
2023-02-21,Perungudi,Chennai,2633.9,0.43,116.68,23.9,CALIBRATING
2023-02-22,Ghazipur,Delhi,2738.8,0.56,124.89,43.6,ACTIVE
2023-02-22,Bhalswa,Delhi,2212.3,0.57,101.1,24.1,ACTIVE
2023-02-22,Okhla,Delhi,1346.4,0.43,59.65,24.2,ACTIVE
2023-02-22,Deonar,Mumbai,2915.0,0.41,128.55,16.7,ACTIVE
2023-02-22,Pirana,Ahmedabad,2301.2,0.47,102.86,22.0,CALIBRATING
2023-02-22,Perungudi,Chennai,2561.6,0.48,114.76,15.3,ACTIVE
2023-02-23,Ghazipur,Delhi,2459.0,0.51,110.9,27.0,ACTIVE
2023-02-23,Bhalswa,Delhi,2240.3,0.53,101.49,19.5,ACTIVE
2023-02-23,Okhla,Delhi,1364.0,0.44,60.56,43.2,ACTIVE
2023-02-23,Deonar,Mumbai,2965.5,0.45,131.96,38.9,ACTIVE
2023-02-23,Pirana,Ahmedabad,2350.3,0.51,106.0,34.3,ACTIVE
2023-02-23,Perungudi,Chennai,2259.8,0.56,103.05,16.9,ACTIVE
2023-02-24,Ghazipur,Delhi,3111.3,0.46,138.76,21.5,ACTIVE
2023-02-24,Bhalswa,Delhi,1819.7,0.43,80.61,28.4,ACTIVE
